keyword,category,industry,source_sheets,search_intent,funnel_stage,primary_or_secondary,target_url,target_page_type,content_type,cluster,seasonality,priority,cannibalization_risk,status,reason
6 piece pharma employee welcome kit,Joining Kits,Pharma,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/healthcare-pharma. Building a page per permutation would create near-identical doorway pages."
3 piece corporate real estate joining kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
3 piece personalized real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
3 piece real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
4 piece corporate real estate joining kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
4 piece personalized real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
4 piece real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
5 piece corporate real estate joining kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
5 piece personalized real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
5 piece real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
6 piece corporate real estate joining kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
6 piece personalized real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
6 piece real estate employee welcome kit,Joining Kits,Real Estate,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/real-estate. Building a page per permutation would create near-identical doorway pages."
Recruitment / HR joining kit,Joining Kits,Recruitment / HR,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Renewable Energy / ESG joining kit,Joining Kits,Renewable Energy / ESG,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Software / SaaS joining kit,Joining Kits,Software / SaaS,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
VIP corporate gifts,Luxury Kits,All,SEO Keywords,executive gifting,bottom,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
executive luxury gift set,Luxury Kits,All,SEO Keywords,executive gifting,bottom,secondary,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/executive-leadership.
high end corporate gifts,Luxury Kits,All,SEO Keywords,commercial investigation,middle,secondary,/categories/luxury-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/luxury-gifts.
luxury branded corporate gifts,Luxury Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
luxury business gifting,Luxury Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
luxury business gifts,Luxury Kits,All,SEO Keywords,commercial investigation,middle,secondary,/categories/luxury-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/luxury-gifts.
luxury client gifts,Luxury Kits,All,SEO Keywords,client gifting,bottom,supporting,/gifting/client-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/client-appreciation.
luxury corporate gift sets,Luxury Kits,All,SEO Keywords,commercial investigation,middle,secondary,/categories/luxury-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/luxury-gifts.
luxury corporate gifting India,Luxury Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
luxury employee gifts,Luxury Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
luxury executive gifts,Luxury Kits,All,SEO Keywords,executive gifting,bottom,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
luxury gifts for CEOs,Luxury Kits,All,SEO Keywords,commercial investigation,middle,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
luxury gifts for clients,Luxury Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
luxury gifts for leadership,Luxury Kits,All,SEO Keywords,executive gifting,bottom,secondary,/categories/luxury-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/luxury-gifts.
luxury joining kits,Luxury Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
luxury onboarding kits,Luxury Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
luxury personalized corporate gifts,Luxury Kits,All,SEO Keywords,product-specific,bottom,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
luxury stationery gift set,Luxury Kits,All,SEO Keywords,product-specific,bottom,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
premium luxury corporate gifts,Luxury Kits,All,SEO Keywords,commercial investigation,middle,secondary,/categories/luxury-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/luxury-gifts.
VIP corporate gifting box India,Luxury Kits,All Industries,SEO Keywords,executive gifting,bottom,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
artisan luxury corporate hamper India,Luxury Kits,All Industries,SEO Keywords,commercial investigation,middle,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
executive client appreciation gift box,Luxury Kits,All Industries,SEO Keywords,client gifting,bottom,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
executive recognition gift box India,Luxury Kits,All Industries,SEO Keywords,executive gifting,bottom,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
high end client relationship gift box,Luxury Kits,All Industries,SEO Keywords,client gifting,bottom,secondary,/gifting/client-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/client-appreciation.
luxury leadership gift set India,Luxury Kits,All Industries,SEO Keywords,executive gifting,bottom,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
luxury partner appreciation gift set,Luxury Kits,All Industries,SEO Keywords,product-specific,bottom,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
luxury personalized corporate gift box India,Luxury Kits,All Industries,SEO Keywords,product-specific,bottom,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
premium luxury employee milestone gift,Luxury Kits,All Industries,SEO Keywords,commercial investigation,middle,supporting,/occasions/work-anniversary-milestones,seasonal-landing,landing page copy,occasions,seasonal,2,low,targeted,Seasonal intent served by the evergreen occasion page /occasions/work-anniversary-milestones.
sustainable luxury corporate gift box,Luxury Kits,All Industries,SEO Keywords,sustainability,middle,supporting,/categories/eco-gifts,category,category page copy,eco-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/eco-gifts.
AI / Tech Startups luxury corporate gifts,Luxury Kits,AI / Tech Startups,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Automotive luxury corporate gifts,Luxury Kits,Automotive,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
BFSI / Insurance luxury corporate gifts,Luxury Kits,BFSI / Insurance,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Banking luxury corporate gifts,Luxury Kits,Banking,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Coaching / EdTech luxury corporate gifts,Luxury Kits,Coaching / EdTech,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Construction / Infrastructure luxury corporate gifts,Luxury Kits,Construction / Infrastructure,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Consulting luxury corporate gifts,Luxury Kits,Consulting,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Coworking luxury corporate gifts,Luxury Kits,Coworking,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
E-commerce luxury corporate gifts,Luxury Kits,E-commerce,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Education luxury corporate gifts,Luxury Kits,Education,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Events / Conferences luxury corporate gifts,Luxury Kits,Events / Conferences,SEO Keywords,event gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Finance / Investment luxury corporate gifts,Luxury Kits,Finance / Investment,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Fintech luxury corporate gifts,Luxury Kits,Fintech,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Government / PSU luxury corporate gifts,Luxury Kits,Government / PSU,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Healthcare luxury corporate gifts,Luxury Kits,Healthcare,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Hospitality / Travel luxury corporate gifts,Luxury Kits,Hospitality / Travel,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
IT luxury corporate gifts,Luxury Kits,IT,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Legal luxury corporate gifts,Luxury Kits,Legal,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Logistics luxury corporate gifts,Luxury Kits,Logistics,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Manufacturing luxury corporate gifts,Luxury Kits,Manufacturing,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Media / Marketing luxury corporate gifts,Luxury Kits,Media / Marketing,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Pharma luxury corporate gifts,Luxury Kits,Pharma,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Real Estate luxury corporate gifts,Luxury Kits,Real Estate,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Recruitment / HR luxury corporate gifts,Luxury Kits,Recruitment / HR,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Renewable Energy / ESG luxury corporate gifts,Luxury Kits,Renewable Energy / ESG,SEO Keywords,sustainability,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Software / SaaS luxury corporate gifts,Luxury Kits,Software / SaaS,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Telecom luxury corporate gifts,Luxury Kits,Telecom,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
executive stationery gift set,Premium Kits,All,SEO Keywords,executive gifting,bottom,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
premium branded gift sets,Premium Kits,All,SEO Keywords,commercial investigation,middle,secondary,/categories/premium-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/premium-gifts.
premium business gifts,Premium Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/premium-gifts,category,category page copy,premium-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/premium-gifts.
premium client gifts,Premium Kits,All,SEO Keywords,client gifting,bottom,secondary,/categories/premium-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/premium-gifts.
premium corporate gift sets,Premium Kits,All,SEO Keywords,commercial investigation,bottom,primary,/categories/premium-gifts,category,landing page copy,categories,evergreen,1,none,targeted,Declared primary keyword of /categories/premium-gifts.
premium corporate gifting India,Premium Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/premium-gifts,category,category page copy,premium-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/premium-gifts.
premium corporate gifts for events,Premium Kits,All,SEO Keywords,event gifting,bottom,secondary,/categories/premium-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/premium-gifts.
premium customized corporate gifts,Premium Kits,All,SEO Keywords,product-specific,bottom,supporting,/categories/premium-gifts,category,category page copy,premium-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/premium-gifts.
premium employee gifts,Premium Kits,All,SEO Keywords,commercial investigation,middle,supporting,/categories/premium-gifts,category,category page copy,premium-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/premium-gifts.
premium employee welcome kits,Premium Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
premium executive gifts,Premium Kits,All,SEO Keywords,executive gifting,bottom,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
premium gifts for clients,Premium Kits,All,SEO Keywords,commercial investigation,middle,secondary,/categories/premium-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/premium-gifts.
premium gifts for employees,Premium Kits,All,SEO Keywords,commercial investigation,middle,secondary,/categories/premium-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/premium-gifts.
premium gifts for leadership,Premium Kits,All,SEO Keywords,executive gifting,bottom,secondary,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/executive-leadership.
premium joining kits,Premium Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
premium notebook pen gift set,Premium Kits,All,SEO Keywords,product-specific,bottom,secondary,/categories/premium-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/premium-gifts.
premium onboarding kits,Premium Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
premium stationery gift set,Premium Kits,All,SEO Keywords,product-specific,bottom,primary,/products/green-gold-corporate-stationery-set,product,landing page copy,products,evergreen,1,none,targeted,Declared primary keyword of /products/green-gold-corporate-stationery-set.
corporate event swag kit India,Premium Kits,Events / Conferences,SEO Keywords,event gifting,bottom,secondary,/guides/conference-giveaway-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/conference-giveaway-guide.
curated conference merchandise kit,Premium Kits,Events / Conferences,SEO Keywords,event gifting,bottom,secondary,/guides/conference-giveaway-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/conference-giveaway-guide.
executive event welcome gift box,Premium Kits,Events / Conferences,SEO Keywords,event gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
premium conference delegate kit India,Premium Kits,Events / Conferences,SEO Keywords,event gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
premium speaker appreciation gift set,Premium Kits,Events / Conferences,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
tech conference attendee gift kit,Premium Kits,Events / Conferences,SEO Keywords,event gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
curated employee wellness gift box,Premium Kits,HR / Employee Experience,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,"Describes a product type (""wellness gift box"") that is not in the catalog, which is stationery, pens, journals, folios and planners. Ranking for it would mean publishing specifications for goods we do not sell. Revisit if the range expands."
employee milestone gift box India,Premium Kits,HR / Employee Experience,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"HR / Employee Experience has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
employee recognition gift box India,Premium Kits,HR / Employee Experience,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"HR / Employee Experience has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
employee reward gift box for corporates,Premium Kits,HR / Employee Experience,SEO Keywords,industry-specific,middle,secondary,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-appreciation.
